time (fs),deltaI
-42.62100117,-0.889448078
-42.68528624,-0.919598827
-42.74957131,-0.969850075
-42.81385638,-0.96482495
-42.87814145,-0.96482495
-42.94242652,-0.919598827
-43.00671159,-0.874372704
-43.07099666,-0.804020957
-43.13528173,-0.73366921
-43.1995668,-0.673367712
-43.26385187,-0.628141589
-43.32813694,-0.542714467
-43.39242201,-0.527639093
-43.45670708,-0.527639093
-43.52099215,-0.557789842
-43.58527722,-0.628141589
-43.64956229,-0.71356871
-43.71384736,-0.829146581
-43.77813243,-0.944724451
-43.8424175,-1.065327446
-43.90670257,-1.185930442
-43.97098764,-1.281407813
-44.03527271,-1.336684186
-44.09955777,-1.36180981
-44.16384284,-1.371860059
-44.22812791,-1.321608811
-44.29241298,-1.251257064
-44.35669805,-1.125628944
-44.42098312,-1.050252072
-44.48526819,-0.959799826
-44.54955326,-0.909548578
-44.61383833,-0.864322454
-44.6781234,-0.869347579
-44.74240847,-0.914573702
-44.80669354,-1.000000824
-44.87097861,-1.11055357
-44.93526368,-1.241206814
-44.99954875,-1.376885184
-45.06383382,-1.507538429
-45.12811889,-1.61306605
-45.19240396,-1.683417797
-45.25668903,-1.73869417
-45.3209741,-1.733669045
-45.38525917,-1.693468046
-45.44954424,-1.61306605
-45.51382931,-1.527638928
-45.57811438,-1.422111307
-45.64239945,-1.336684186
-45.70668452,-1.22613144
-45.77096959,-1.155779693
-45.83525466,-1.10050332
-45.89953972,-1.065327446
-45.96382479,-1.070352571
-46.02810986,-1.09045307
-46.09239493,-1.105528445
-46.15668,-1.160804818
-46.22096507,-1.21608119
-46.28525014,-1.296483187
-46.34953521,-1.35175956
-46.41382028,-1.376885184
-46.47810535,-1.386935434
-46.54239042,-1.407035933
-46.60667549,-1.376885184
-46.67096056,-1.306533437
-46.73524563,-1.246231939
-46.7995307,-1.145729443
-46.86381577,-1.035176698
-46.92810084,-0.919598827
-46.99238591,-0.819096331
-47.05667098,-0.72361896
-47.12095605,-0.643216963
-47.18524112,-0.567840091
-47.24952619,-0.542714467
-47.31381126,-0.547739592
-47.37809633,-0.572865216
-47.4423814,-0.618091339
-47.50666647,-0.703518461
-47.57095154,-0.773870208
-47.63523661,-0.854272205
-47.69952167,-0.914573702
-47.76380674,-0.949749576
-47.82809181,-0.934674202
-47.89237688,-0.909548578
-47.95666195,-0.854272205
-48.02094702,-0.763819958
