time (fs),deltaI
7.045454113,0.019598001
6.978989889,0.074874384
6.912525664,0.126381923
6.84606144,0.1753769
6.779597215,0.21934675
6.71313299,0.262060319
6.646668766,0.303517606
6.580204541,0.338693487
6.513740317,0.368844241
6.447276092,0.397738714
6.380811868,0.425376906
6.314347643,0.458040224
6.247883419,0.48944726
6.181419194,0.52462314
6.11495497,0.556030176
6.048490745,0.587437212
5.98202652,0.620100529
5.915562296,0.647738721
5.849098071,0.670351787
5.782633847,0.684170883
5.716169622,0.691708571
5.649705398,0.692964853
5.583241173,0.686683446
5.516776949,0.675376913
5.450312724,0.656532691
5.3838485,0.631407062
5.317384275,0.601256308
5.25092005,0.56859299
5.184455826,0.532160828
5.117991601,0.496984948
5.051527377,0.460552786
4.985063152,0.422864343
4.918598928,0.383919619
4.852134703,0.344974894
4.785670479,0.306030169
4.719206254,0.2633166
4.65274203,0.218090468
4.586277805,0.167839211
4.51981358,0.116331672
4.453349356,0.063567851
4.386885131,0.008291468
4.320420907,-0.046984915
4.253956682,-0.104773862
4.187492458,-0.165075371
4.121028233,-0.22537688
4.054564009,-0.28693467
3.988099784,-0.348492461
3.92163556,-0.411306533
3.855171335,-0.471608042
3.78870711,-0.525628144
3.722242886,-0.575879402
3.655778661,-0.619849252
3.589314437,-0.662562821
3.522850212,-0.69648242
3.456385988,-0.725376893
3.389921763,-0.747989959
3.323457539,-0.769346743
3.256993314,-0.789447246
3.19052909,-0.805778905
3.124064865,-0.820854282
3.05760064,-0.830904534
2.991136416,-0.839698504
2.924672191,-0.845979911
2.858207967,-0.852261318
2.791743742,-0.854773881
2.725279518,-0.849748756
2.658815293,-0.838442223
2.592351069,-0.819598001
2.525886844,-0.795728654
2.45942262,-0.763065336
2.392958395,-0.721608049
2.32649417,-0.672613072
2.260029946,-0.618592971
2.193565721,-0.564572869
2.127101497,-0.509296485
2.060637272,-0.454020102
1.994173048,-0.4
1.927708823,-0.34723618
1.861244599,-0.296984922
1.794780374,-0.25175879
1.72831615,-0.206532658
1.661851925,-0.158793964
1.5953877,-0.108542706
1.528923476,-0.057035167
1.462459251,-0.003015065
1.395995027,0.052261318
1.329530802,0.112562828
1.263066578,0.176633181
1.196602353,0.241959816
1.130138129,0.307286451
1.063673904,0.370100523
0.99720968,0.431658313
0.930745455,0.486934697
0.86428123,0.539698517
0.797817006,0.581155805
0.731352781,0.616331685
0.664888557,0.642713595
0.598424332,0.666582943
0.531960108,0.682914601
0.465495883,0.694221134
0.399031659,0.703015104
0.332567434,0.710552793
0.26610321,0.715577919
0.199638985,0.719346763
0.13317476,0.723115607
0.066710536,0.721859326
0.000246311,0.718090482
-0.066217913,0.706783949
-0.132682138,0.692964853
-0.199146362,0.675376913
-0.265610587,0.650251284
-0.332074811,0.616331685
-0.398539036,0.573618116
-0.46500326,0.528391984
-0.531467485,0.475628164
-0.59793171,0.422864343
-0.664395934,0.366331678
-0.730860159,0.309799014
-0.797324383,0.253266349
-0.863788608,0.20175881
-0.930252832,0.155276396
-0.996717057,0.110050265
-1.063181281,0.068592977
-1.129645506,0.02713569
-1.19610973,-0.009296472
-1.262573955,-0.04195979
-1.32903818,-0.075879388
-1.395502404,-0.109798987
-1.461966629,-0.147487431
-1.528430853,-0.186432155
-1.594895078,-0.226633161
-1.661359302,-0.26934673
-1.727823527,-0.314572862
-1.794287751,-0.361055275
-1.860751976,-0.410050252
-1.9272162,-0.456532665
-1.993680425,-0.497989952
-2.06014465,-0.538190958
-2.126608874,-0.575879402
-2.193073099,-0.609799
-2.259537323,-0.638693474
-2.326001548,-0.660050258
-2.392465772,-0.677638198
-2.458929997,-0.68768845
-2.525394221,-0.692713576
-2.591858446,-0.691457294
-2.65832267,-0.682663324
-2.724786895,-0.67010051
-2.79125112,-0.652512569
-2.857715344,-0.638693474
-2.924179569,-0.619849252
-2.990643793,-0.60100503
-3.057108018,-0.58341709
-3.123572242,-0.563316587
-3.190036467,-0.543216084
-3.256500691,-0.520603018
-3.322964916,-0.496733671
-3.389429141,-0.466582916
-3.455893365,-0.431407036
-3.52235759,-0.394974874
-3.588821814,-0.354773868
-3.655286039,-0.312060299
-3.721750263,-0.264321604
-3.788214488,-0.212814065
-3.854678712,-0.163819089
-3.921142937,-0.118592957
-3.987607161,-0.07713567
-4.054071386,-0.040703508
-4.120535611,-0.009296472
-4.186999835,0.017085438
-4.25346406,0.03592966
-4.319928284,0.052261318
-4.386392509,0.067336696
-4.452856733,0.084924636
-4.519320958,0.107537702
-4.585785182,0.131407049
-4.652249407,0.159045241
-4.718713631,0.191708558
-4.785177856,0.229397001
-4.851642081,0.269598008
-4.918106305,0.311055295
-4.98457053,0.351256301
-5.051034754,0.386432181
-5.117498979,0.419095499
-5.183963203,0.447989972
-5.250427428,0.470603038
-5.316891652,0.481909571
-5.383355877,0.486934697
-5.449820101,0.480653289
-5.516284326,0.469346756
-5.582748551,0.455527661
-5.649212775,0.439196002
-5.715677,0.421608062
-5.782141224,0.404020122
-5.848605449,0.386432181
-5.915069673,0.373869367
-5.981533898,0.362562834
-6.047998122,0.351256301
-6.114462347,0.342462331
-6.180926571,0.337437205
-6.247390796,0.329899517
-6.313855021,0.322361828
-6.380319245,0.312311576
-6.44678347,0.298492481
-6.513247694,0.279648259
-6.579711919,0.258291475
-6.646176143,0.234422127
-6.712640368,0.206783936
-6.779104592,0.174120618
-6.845568817,0.141457301
-6.912033041,0.110050265
-6.978497266,0.078643229
-7.044961491,0.0535176
-7.111425715,0.02713569
-7.17788994,0.004522624
-7.244354164,-0.016834161
-7.310818389,-0.035678382
-7.377282613,-0.055778885
-7.443746838,-0.079648233
-7.510211062,-0.108542706
-7.576675287,-0.141206023
-7.643139511,-0.177638185
-7.709603736,-0.21658291
-7.776067961,-0.255527634
-7.842532185,-0.298241203
-7.90899641,-0.340954772
-7.975460634,-0.38241206
