time,field,ref,writeheader
-139.1652754590985,-4.5873417786024385e-7,-2.5040312079525065e-183 + 0.0im,false
-138.63105175292154,-5.323894753310671e-7,-1.349762390295992e-181 + 0.0im,false
-138.09682804674458,-5.575995009210824e-7,-3.962497562346234e-180 + 0.0im,false
-137.56260434056762,-5.470762021630237e-7,-7.874282228436686e-179 + 0.0im,false
-137.02838063439063,-5.187144056460375e-7,-8.192261652418253e-178 + 0.0im,false
-136.49415692821367,-4.894678719294981e-7,1.2611024709284056e-176 + 0.0im,false
-135.95993322203674,-4.702312954857997e-7,9.428249731870533e-175 + 0.0im,false
-135.42570951585975,-4.636873404557203e-7,2.926193732852857e-173 + 0.0im,false
-134.8914858096828,-4.664257283599992e-7,6.086345579239883e-172 + 0.0im,false
-134.35726210350586,-4.730393236881041e-7,7.660998018281344e-171 + 0.0im,false
-133.82303839732887,-4.792632992685673e-7,-2.3135367704907696e-170 + 0.0im,false
-133.2888146911519,-4.830806075699761e-7,-4.596037382105786e-168 + 0.0im,false
-132.75459098497498,-4.843553318791073e-7,-1.5429253189205913e-166 + 0.0im,false
-132.220367278798,-4.839271607376889e-7,-3.3396496417254117e-165 + 0.0im,false
-131.68614357262103,-4.828042505494914e-7,-4.7027354536485614e-164 + 0.0im,false
-131.15191986644408,-4.817143957323777e-7,-1.4818314005847374e-163 + 0.0im,false
-130.61769616026712,-4.809989763695423e-7,1.5286608874544455e-161 + 0.0im,false
-130.08347245409016,-4.807075431033224e-7,5.795825942290602e-160 + 0.0im,false
-129.5492487479132,-4.807384375218403e-7,1.3061650640447034e-158 + 0.0im,false
-129.0150250417362,-4.809481147493148e-7,1.9796659098153607e-157 + 0.0im,false
-128.48080133555925,-4.8121285304817e-7,1.3289729205457895e-156 + 0.0im,false
-127.9465776293823,-4.814393929088343e-7,-3.2964490146660075e-155 + 0.0im,false
-127.41235392320533,-4.815744956632578e-7,-1.5440714078384198e-153 + 0.0im,false
-126.87813021702836,-4.816036325070221e-7,-3.648328902254199e-152 + 0.0im,false
-126.34390651085143,-4.815448257845273e-7,-5.830488650088883e-151 + 0.0im,false
-125.80968280467445,-4.814363603720668e-7,-5.217809450006305e-150 + 0.0im,false
-125.27545909849748,-4.813242789656459e-7,3.92465332673686e-149 + 0.0im,false
-124.7412353923205,-4.812493659433594e-7,2.8940145474532973e-147 + 0.0im,false
-124.20701168614357,-4.812337062404315e-7,7.280085072945829e-146 + 0.0im,false
-123.6727879799666,-4.812711843611003e-7,1.2141259390837811e-144 + 0.0im,false
-123.13856427378964,-4.813444550594367e-7,1.266898256909191e-143 + 0.0im,false
-122.6043405676127,-4.814158457290406e-7,-2.3924371199057716e-144 + 0.0im,false
-122.07011686143574,-4.814374624578754e-7,-3.7600094426699537e-141 + 0.0im,false
-121.53589315525876,-4.814029736549227e-7,-1.03659599733828e-139 + 0.0im,false
-121.0016694490818,-4.813415017575966e-7,-1.798102855373495e-138 + 0.0im,false
-120.46744574290486,-4.812932404836235e-7,-2.0623782582956852e-137 + 0.0im,false
-119.93322203672788,-4.812874059116954e-7,-7.671201413879487e-137 + 0.0im,false
-119.39899833055092,-4.81324444638676e-7,3.286311274750441e-135 + 0.0im,false
-118.86477462437394,-4.813711284172758e-7,1.0500511651653158e-133 + 0.0im,false
-118.33055091819699,-4.814153847258265e-7,1.89989158846771e-132 + 0.0im,false
-117.79632721202003,-4.814861991414129e-7,2.323706847959163e-131 + 0.0im,false
-117.26210350584306,-4.815460359179642e-7,1.4080656690977562e-130 + 0.0im,false
-116.72787979966608,-4.815173312647131e-7,-1.793473737618908e-129 + 0.0im,false
-116.19365609348915,-4.813931125080467e-7,-7.524908398801278e-128 + 0.0im,false
-115.65943238731218,-4.812495316163895e-7,-1.4340842721475134e-126 + 0.0im,false
-115.1252086811352,-4.81166428583878e-7,-1.840449879602313e-125 + 0.0im,false
-114.59098497495827,-4.81184739055287e-7,-1.3919918825108938e-124 + 0.0im,false
-114.0567612687813,-4.813016898081564e-7,4.533139307357225e-124 + 0.0im,false
-113.52253756260433,-4.814536119767183e-7,3.776653774903068e-122 + 0.0im,false
-112.9883138564274,-4.815629201606795e-7,7.731307852669085e-121 + 0.0im,false
-112.45409015025042,-4.816607608896907e-7,1.0333608935068699e-119 + 0.0im,false
-111.91986644407343,-4.81739765315502e-7,8.86701185767297e-119 + 0.0im,false
-111.38564273789649,-4.817256542952463e-7,1.0854550564483754e-118 + 0.0im,false
-110.85141903171952,-4.816043240118432e-7,-1.302471085204262e-116 + 0.0im,false
-110.31719532554256,-4.813222620765843e-7,-2.971490545601557e-115 + 0.0im,false
-109.78297161936561,-4.80873482650862e-7,-4.132395241079971e-114 + 0.0im,false
-109.24874791318864,-4.803382939352025e-7,-3.844424302904242e-113 + 0.0im,false
-108.71452420701166,-4.798993684531809e-7,-1.4377001525851744e-112 + 0.0im,false
-108.18030050083473,-4.799330649068593e-7,2.9627311306487907e-111 + 0.0im,false
-107.64607679465776,-4.807731856391008e-7,8.110818974966646e-110 + 0.0im,false
-107.11185308848079,-4.821654945805208e-7,1.1798130092125489e-108 + 0.0im,false
-106.57762938230385,-4.835431306540179e-7,1.1618383942516514e-107 + 0.0im,false
-106.04340567612688,-4.845090332319485e-7,6.14858697234957e-107 + 0.0im,false
-105.5091819699499,-4.848782319778418e-7,-3.959598651935583e-106 + 0.0im,false
-104.97495826377296,-4.846200701779624e-7,-1.5612997074620237e-104 + 0.0im,false
-104.440734557596,-4.834146404144462e-7,-2.40655070789497e-103 + 0.0im,false
-103.90651085141903,-4.808308470567357e-7,-2.477577523459604e-102 + 0.0im,false
-103.37228714524207,-4.768070525344747e-7,-1.5635278788814063e-101 + 0.0im,false
-102.83806343906511,-4.7213999285555544e-7,1.5035674901311426e-101 + 0.0im,false
-102.30383973288815,-4.69292548878448e-7,2.092817284596873e-99 + 0.0im,false
-101.76961602671119,-4.71409929437498e-7,3.5042747526818686e-98 + 0.0im,false
-101.23539232053423,-4.783044269896514e-7,3.7532700535541537e-97 + 0.0im,false
-100.70116861435724,-4.861046229812478e-7,2.631898571889986e-96 + 0.0im,false
-100.16694490818028,-4.916530559768926e-7,4.846215772358475e-96 + 0.0im,false
-99.63272120200334,-4.949929018088537e-7,-1.9053983768894285e-94 + 0.0im,false
-99.09849749582636,-4.98048395095836e-7,-3.633565854184039e-93 + 0.0im,false
