time,field
-90.109608228,-0.13668269135941652 - 0.01808981979483533im
-90.04560992799999,-0.1352192597122289 - 0.0273960806449549im
-89.981611628,-0.13313015590777336 - 0.03658349369855665im
-89.917613328,-0.13042504359933413 - 0.045610808063115495im
-89.853615018,-0.12711622198901562 - 0.054437556834385864im
-89.78961671799999,-0.12321856265691483 - 0.06302421664115063im
-89.725618418,-0.11874943768789098 - 0.07133236216570076im
-89.66162011799999,-0.11372863948682403 - 0.07932481527411368im
-89.597621818,-0.10817829267493072 - 0.0869657884197151im
-89.533623518,-0.10212275845932924 - 0.09422102201019414im
-89.46962521799999,-0.09558853186598179 - 0.10105791545357318im
-89.405626918,-0.08860413222280204 - 0.10744565162051843im
-89.341628608,-0.08119998727547445 - 0.11335531448030668im
-89.277630308,-0.07340831131378749 - 0.1187599996851336im
-89.21363200799999,-0.0652629776814024 - 0.1236349178924489im
-89.149633708,-0.05679938603732677 - 0.12795749062772707im
-89.085635408,-0.04805432473327389 - 0.13170743850069636im
-89.021637108,-0.03906582866787346 - 0.13486686159674466im
-88.957638808,-0.029873032976645383 - 0.13742031187222933im
-88.893640498,-0.020516022915995448 - 0.13935485738800685im
-88.82964219799999,-0.011035680300455831 - 0.14066013821996082im
-88.765643898,-0.0014735268551403528 - 0.14132841388895626im
-88.701645598,0.008128435149958353 - 0.14135460215583284im
-88.63764729799999,0.017727884610552972 - 0.14073630903010076im
-88.573648998,0.02728234526157334 - 0.13947384984430644im
-88.509650698,0.03674935092096385 - 0.1375702612499261im
-88.445652398,0.046086611898474114 - 0.13503130399550828im
-88.38165408799999,0.05525218214965602 - 0.13186545635396107im
-88.317655788,0.06420462673908257 - 0.12808389807370882im
-88.253657488,0.0729031891591057 - 0.12370048473825566im
-88.189659188,0.08130795803150537 - 0.11873171243078001im
-88.125660888,0.08938003269942639 - 0.11319667261502328im
-88.06166258799999,0.09708168719637356 - 0.107116997161164im
-87.997664288,0.10437653205806847 - 0.10051679346578661im
-87.933665988,0.1112296734220591 - 0.09342256963863196im
-87.869667678,0.11760786883948937 - 0.08586314975566277im
-87.80566937799999,0.12347967920381595 - 0.07786957920817593im
-87.741671078,0.12881561618292275 - 0.06947502021126267im
-87.677672778,0.13358828452446952 - 0.06071463757183435im
-87.613674478,0.1377725185898691 - 0.05162547485662197im
-87.549676178,0.1413455124604448 - 0.042246321143888314im
-87.48567787799999,0.14428694295051814 - 0.03261756858889063im
-87.42167956799999,0.14657908485682591 - 0.022781061082162726im
-87.357681268,0.14820691777216638 - 0.012779934331172232im
-87.293682968,0.14915822379389598 - 0.0026584477495223383im
-87.22968466799999,0.14942367546518887 + 0.007538191406764452im
-87.165686368,0.14899691329912676 + 0.017764011159633893im
-87.101688068,0.14787461225299087 + 0.027972464632221042im
-87.03768976799999,0.14605653654278275 + 0.03811662596307249im
-86.973691468,0.14354558221620073 + 0.04814939164167131im
-86.909693158,0.1403478069361516 + 0.05802368653836186im
-86.845694858,0.13647244646646142 + 0.06769267384579676im
-86.781696558,0.13193191739677143 + 0.07710996809486856im
-86.717698258,0.1267418056946166 + 0.08622985035632093im
-86.65369995799999,0.12092084072928404 + 0.09500748469045772im
