time,field
216.5763996,-0.04026557353762951 - 0.00030343710960710615im
216.64068469999998,-0.04014344113168357 - 0.003002812081462802im
216.7049698,-0.03984055082327532 - 0.005687366430302732im
216.7692548,-0.03935832569687228 - 0.008345007469726927im
216.83353989999998,-0.03869899727471007 - 0.0109637655380186im
216.89782499999998,-0.03786559550645494 - 0.013531848023747017im
216.96211,-0.03686193514858783 - 0.016037692608720556im
217.0263951,-0.03569259859297153 - 0.01847001948693469im
217.09068019999998,-0.03436291522021643 - 0.020817882322576784im
217.1549652,-0.03287893736928551 - 0.023070717715652393im
217.2192503,-0.031247413030212008 - 0.025218392950363138im
217.28353539999998,-0.029475755381769175 - 0.027251251808955178im
217.34782049999998,-0.027572009310357876 - 0.029160158242352095im
217.4121055,-0.025544815060208413 - 0.03093653769843444im
217.4763906,-0.023403369178149735 - 0.0325724159192996im
217.54067569999998,-0.0211573829286323 - 0.03406045503017743im
217.6049607,-0.018817038366338575 - 0.03539398675483939im
217.6692458,-0.016392942264517502 - 0.036567042605269856im
217.73353089999998,-0.013896078107098647 - 0.03757438090700863im
217.7978159,-0.01133775636161443 - 0.03841151053585798im
217.862101,-0.008729563257958798 - 0.039074711256523356im
217.9263861,-0.006083305902912791 - 0.039561034947939076im
217.99067119999998,-0.0034109639643786975 - 0.03986831728879958im
218.0549562,-0.0007246419489451447 - 0.039995236212210655im
218.1192413,0.0019634947675972307 - 0.039941288576682554im
218.18352639999998,0.0046412754156032405 - 0.03970679145583179im
218.2478114,0.007296579125615766 - 0.03929288065879401im
218.3120965,0.009917390004160713 - 0.03870150552224266im
218.3763816,0.012491851739742378 - 0.037935419996305154im
218.4406666,0.015008321489473349 - 0.036998170063659276im
218.5049517,0.01745542279990698 - 0.03589407754791828im
218.5692368,0.019822097319910185 - 0.03462822038399454im
218.6335219,0.02209765506880695 - 0.03320640943939804im
218.6978069,0.02427182302950045 - 0.03163516199129249im
218.762092,0.026334791843835356 - 0.02992167197953371im
218.8263771,0.028277260396041302 - 0.02807377717077645im
218.8906621,0.030090478079672633 - 0.026099923382983246im
218.9549472,0.03176628455398599 - 0.024009125933243895im
219.0192323,0.03329714680712438 - 0.021810928484651583im
219.08351729999998,0.03467619335575559 - 0.01951535948000922im
219.1478024,0.03589724542388721 - 0.01713288636132302im
219.2120875,0.0369548449573888 - 0.014674367784303003im
219.27637249999998,0.03784427934523265 - 0.01215100404640336im
219.3406576,0.038561602733550505 - 0.009574285955240432im
219.4049427,0.039103653834228445 - 0.006955942371494209im
219.4692278,0.039468070145844796 - 0.0043078866665866074im
219.53351279999998,0.03965329852123602 - 0.0016421623405160628im
219.5977979,0.03965860203276332 + 0.0010291119508203488im
219.662083,0.03948406310338035 + 0.0036937977066853764im
219.72636799999998,0.03913058288878529 + 0.006339791977162137im
219.7906531,0.038599876913202845 + 0.008955082589181991im
219.8549382,0.037894466978598454 + 0.011527802949383098im
219.91922319999998,0.037017669384304265 + 0.014046286172154504im
219.98350829999998,0.03597357951104948 + 0.01649911828426098im
220.0477934,0.03476705284015727 + 0.018875190261647672im
220.1120785,0.033403682495123724 + 0.021163748659354678im
220.17636349999998,0.03188977340884648 + 0.023354444601913823im
220.2406486,0.030232313235354642 + 0.0254373809091232im
220.3049337,0.028438940139926674 + 0.02740315714066062im
220.36921869999998,0.026517907615910486 + 0.029242912352574188im
220.43350379999998,0.024478046490293715 + 0.030948365369222654im
220.4977889,0.022328724293071468 + 0.03251185238568884im
220.56207389999997,0.0200798021776401 + 0.033926361728003646im
220.62635899999998,0.01774158959076794 + 0.035185565611629346im
220.6906441,0.015324796901097388 + 0.03628384875251461im
220.75492909999997,0.012840486204563824 + 0.03721633369956701im
220.81921419999998,0.010300020533546306 + 0.03797890277254253im
220.88349929999998,0.007715011703932738 + 0.038568216505039984im
220.9477844,0.005097267040570521 + 0.03898172850844704im
221.01206939999997,0.0024587352267472504 + 0.039217696689236345im
221.07635449999998,-0.00018854847262856126 + 0.03927519076888034im
221.1406396,-0.002832517361599656 + 0.039154096072753955im
221.20492459999997,-0.005461128583244413 + 0.038855113571659376im
221.26920969999998,-0.008062418254510453 + 0.0383797561769452im
221.33349479999998,-0.010624556211706186 + 0.03773034130752745im
221.3977798,-0.013135900114403389 + 0.03690997976436871im
221.46206489999997,-0.015585048658524699 + 0.035922560965056416im
221.52634999999998,-0.017960893653570155 + 0.03477273460796034im
221.5906351,-0.020252670724253945 + 0.03346588885196065im
221.65492009999997,-0.022450008403254867 + 0.03200812511385593im
221.71920519999998,-0.024542975389302352 + 0.030406229601189824im
221.78349029999998,-0.02652212575338525 + 0.028667641713326038im
221.8477753,-0.028378541885447497 + 0.026800419458064578im
221.91206039999997,-0.0301038749844741 + 0.024813202044868705im
221.97634549999998,-0.031690382906326635 + 0.022715169828799245im
222.0406305,-0.03313096519600538 + 0.02051600179146023im
